Altium Designer Pick and Place Locations
C:\project data\PCB artwork\??????\IHA8001 N 80 111221(latest)\IHA80_8001_Final 110322\IHA8001_230322 (Last)\Pjt0323\Project Outputs for Audio Prj\Pick Place for PCB2.txt

========================================================================================================================
File Design Information:

Date:       24/03/22
Time:       14:25
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                    Layer    Footprint         Center-X(mm) Center-Y(mm) Rotation Description                         
R140       ERJ-PA3F1003V              TopLayer R1608             110.9917     63.4000      270      ???????1608???                      
R139       RR0816P-271-D              TopLayer R1608             53.8000      41.2000      180      ???????1608???                      
U6         MCP23017-E/ML              TopLayer QFN28             55.4000      10.8000      0        "I/O Expander 16 SPI 10MHz 28-SOIC" 
R138       ERJ-PA3F1002V              TopLayer R1608             77.2000      40.7000      180      ???????1608???                      
OPT2       AQY212G2SX                 TopLayer SOP4-2.54         47.4000      44.8000      180      "60V 550mA ?????"                   
OPT1       AQY212G2SX                 TopLayer SOP4-2.54         47.4000      38.7000      180      "60V 550mA ?????"                   
TR3        DTC114YUBHZGTL             TopLayer SOT-323F          53.7000      39.1002      90       "NPN  TR 0.1A SC85 2x2.1 SOC323"    
R137       RR0816P-271-D              TopLayer R1608             53.8000      42.9625      180      ???????1608???                      
R117       ERJ-PA3F2001V              TopLayer R1608             82.3000      35.1000      180      ???????1608???                      
LED5       APT1608LSECK/J4-PRV        TopLayer LED1608           86.6500      35.1000      180      "LED 1608 orange"                   
R108       ERJ-PA3F1003V              TopLayer R1608             92.3000      48.3000      180      ???????1608???                      
L4         DLW5BTM142TQ2L             TopLayer DLW5BTM           63.5000      61.6000      90       ??????,1A,4??                       
L3         DLW5BTM142TQ2              TopLayer DLW5BTM           39.3000      61.0000      0        ??????,1A,4??                       
L2         DLW5BTM142TQ2L             TopLayer DLW5BTM           54.4000      61.4000      270      ??????,1A,4??                       
C75        UCQ1C101MCL1GS             TopLayer 6.6mmX6.6mm       61.8000      52.3000      270      "6.3f ???????"                      
C63        UCQ1C101MCL1GS             TopLayer 6.6mmX6.6mm       61.9500      42.0000      90       "6.3f ???????"                      
D2         CUS08F30                   TopLayer SOD-323           92.7000      59.2000      180      "DIODE SCHOTTKY 30V 800MA USC"      
R136       ERJ-PA3F4701V              TopLayer R1608             108.6000     76.5000      90       ???????1608???                      
R135       ERJ-PA3F4701V              TopLayer R1608             102.6000     76.5000      90       ???????1608???                      
JP4        SMD_JAMPER                 TopLayer SMD_JAMPER_-CUT   14.4000      78.2000      180      ""                                  
JP3        SMD_JAMPER                 TopLayer SMD_JAMPER_-CUT   10.1000      8.9000       180      ""                                  
CN1        B2P-SHF-1AA                TopLayer B2P-SHF-1AA       79.3500      4.6000       180      ?,?????,1?2??                       
J3         B12P-SHF-1AA               TopLayer B12P-SHF-1AA      4.5000       44.6500      90       "?,?????,1?12?? PCB"                
J2         B5P-SHF-1AA                TopLayer B5P-SHF-1AA       4.5000       18.4000      90       ?,?????,1?3??                       
J1         B18P-SHF-1AA               TopLayer B18P-SHF-1AA      13.5000      45.4500      90       "?,?????,1?12?? PCB"                
