File Design Information:,,,,,,,,,
,,,,,,,,,
Date:       02/05/22,,,,,,,,,
Time:       20:06,,,,,,,,,
Revision:   Not in VersionControl,,,,,,,,,
Variant:    No variations,,,,,,,,,
Units used: mm,,,,,,,,,
,,,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Ref-X(mm),Ref-Y(mm),Description
R140,ERJ-PA3F1003V,TopLayer,R1608,110.9917mm,63.4000mm,270,110.9917mm,63.4000mm,???????1608???
R139,RR0816P-271-D,TopLayer,R1608,53.8000mm,41.2000mm,180,53.8000mm,41.2000mm,???????1608???
U6,MCP23017-E/ML,TopLayer,QFN28,55.4000mm,10.8000mm,0,55.4000mm,10.8000mm,I/O Expander 16 SPI 10MHz 28-SOIC
R138,ERJ-PA3F1002V,TopLayer,R1608,77.2000mm,40.7000mm,180,77.2000mm,40.7000mm,???????1608???
OPT2,AQY212G2SX,TopLayer,SOP4-2.54,47.4000mm,44.8000mm,180,47.4000mm,44.8000mm,60V 550mA ?????
OPT1,AQY212G2SX,TopLayer,SOP4-2.54,47.4000mm,38.7000mm,180,47.4000mm,38.7000mm,60V 550mA ?????
TR3,DTC114YUBHZGTL,TopLayer,SOT-323F,53.7000mm,39.1002mm,90,53.7000mm,39.1000mm,NPN  TR 0.1A SC85 2x2.1 SOC323
R137,RR0816P-271-D,TopLayer,R1608,53.8000mm,42.9625mm,180,53.8000mm,42.9625mm,???????1608???
R117,ERJ-PA3F2001V,TopLayer,R1608,82.3000mm,35.1000mm,180,82.3000mm,35.1000mm,???????1608???
LED5,APT1608LSECK/J4-PRV,TopLayer,LED1608,86.6500mm,35.1000mm,180,86.6500mm,35.1000mm,LED 1608 orange
R108,ERJ-PA3F1003V,TopLayer,R1608,92.3000mm,48.3000mm,180,92.3000mm,48.3000mm,???????1608???
L4,DLW5BTM142TQ2L,TopLayer,DLW5BTM,63.5000mm,61.6000mm,90,63.5000mm,61.6000mm,"??????,1A,4??"
L3,DLW5BTM142TQ2,TopLayer,DLW5BTM,39.3000mm,61.0000mm,0,39.3000mm,61.0000mm,"??????,1A,4??"
L2,DLW5BTM142TQ2L,TopLayer,DLW5BTM,54.4000mm,61.4000mm,270,54.4000mm,61.4000mm,"??????,1A,4??"
C75,UCQ1C101MCL1GS,TopLayer,6.6mmX6.6mm,61.8000mm,52.3000mm,270,61.8000mm,52.3000mm,6.3f ???????
C63,UCQ1C101MCL1GS,TopLayer,6.6mmX6.6mm,61.9500mm,42.0000mm,90,61.9500mm,42.0000mm,6.3f ???????
D2,CUS08F30,TopLayer,SOD-323,92.7000mm,59.2000mm,180,92.7000mm,59.2000mm,DIODE SCHOTTKY 30V 800MA USC
R136,ERJ-PA3F4701V,TopLayer,R1608,108.6000mm,76.5000mm,90,108.6000mm,76.5000mm,???????1608???
R135,ERJ-PA3F4701V,TopLayer,R1608,102.6000mm,76.5000mm,90,102.6000mm,76.5000mm,???????1608???
CN1,B2P-SHF-1AA,TopLayer,B2P-SHF-1AA,79.3500mm,4.6000mm,180,78.1000mm,4.6000mm,"?,?????,1?2??"
J3,B12P-SHF-1AA,TopLayer,B12P-SHF-1AA,4.5000mm,44.6500mm,90,4.5000mm,58.4000mm,"?,?????,1?12?? PCB"
J2,B5P-SHF-1AA,TopLayer,B5P-SHF-1AA,4.5000mm,18.4000mm,90,4.5000mm,23.4000mm,"?,?????,1?3??"
J1,B18P-SHF-1AA,TopLayer,B18P-SHF-1AA,13.5000mm,45.4500mm,90,13.5000mm,66.7000mm,"?,?????,1?12?? PCB"
CN5,B3P-SHF-1AA,TopLayer,B3P-SHF-1AA,90.1000mm,4.6000mm,180,87.6000mm,4.6000mm,"?,?????,1?3??"
CN4,B3P-SHF-1AA,TopLayer,B3P-SHF-1AA,68.6000mm,4.6000mm,180,66.1000mm,4.6000mm,"?,?????,1?3??"
U5,TPSM84203EAB,TopLayer,TO220-3,64.7000mm,75.0000mm,0,64.7000mm,75.0000mm,DC DC CONVERTER 3.3V
U2,R5F5651EHDFP#30,TopLayer,LQFP100,105.6000mm,40.3000mm,270,105.6000mm,40.3000mm,MCU
R15,ERJ-PA3F22R0V,TopLayer,R1608,123.6667mm,32.9000mm,270,123.6667mm,32.9000mm,???????1608???
